"Date","Airtemp_min","Airtemp_avg","Airtemp_max","Dewpoint_min","Soiltemp_avg","Soiltemp_max","Soiltemp_min","Snow_height","Precipitation","Cloud_O","Cloud_H","Windspeedavg_ms","Windspeedmax_ms","atmopressure_gPa","SaturationDeficit_Avg_gPa","SaturationDeficit_Max_gPa","Humidityavg_%","Humiditymin_%","Partialpressure_avg_gPa","Partialpressure_max_gPa"
"2011-01-01","-32","-28","-23","-32.4","-28","-23","-32","36","0","4","7","1.3","3","1033.7","0.20","0.36","72","64","0.20","0.36"
"2011-01-02","-35","-30","-26","-34.9","-30","-26","-35","36","0","1","7","2.3","3","1033.7","0.17","0.29","69","60","0.17","0.29"
"2011-01-03","-31","-28","-24","-33.9","-28","-24","-31","36","0","7","7","3.3","4","1034.4","0.16","0.19","73","69","0.16","0.19"
"2011-01-04","-33","-31","-27","-33.7","-31","-27","-33","36","0","7","7","3.6","4","1039.8","0.12","0.13","76","76","0.12","0.13"
"2011-01-05","-34","-31","-25","-34.1","-31","-25","-34","25","0","7","7","3.9","4","1040.1","0.14","0.21","75","69","0.14","0.21"
"2011-01-06","-34","-30","-25","-34.6","-30","-25","-34","25","0","7","7","2.8","3","1036.9","0.14","0.23","74","69","0.14","0.23"
"2011-01-07","-36","-32","-25","-36.3","-32","-25","-36","25","0","4","7","1.3","2","1036.1","0.11","0.19","76","71","0.11","0.19"
"2011-01-08","-32","-28","-20","-34","-28","-20","-32","29","0","7","7","0.6","1","1034.9","0.16","0.33","75","65","0.16","0.33"
"2011-01-09","-32","-28","-22","-33.4","-28","-22","-32","29","0","7","7","0.6","1","1030","0.21","0.51","74","60","0.21","0.51"
"2011-01-10","-33","-21","-13","-29.2","-21","-13","-33","29","0","4","4","1.8","3","1020.8","0.24","0.31","77","71","0.24","0.31"
"2011-01-11","-16","-11","-8","-15.4","-11","-8","-16","30","1.7","2","3","1.5","2","1011.8","0.47","0.75","83","71","0.47","0.75"
"2011-01-12","-14","-8","-5","-14.2","-8","-5","-14","30","0.3","2","3","1.6","3","1012.9","0.51","0.83","85","80","0.51","0.83"
"2011-01-13","-20","-16","-12","-20.1","-16","-12","-20","30","0","6","1","2.8","4","1015.4","0.48","0.65","74","69","0.48","0.65"
"2011-01-14","-26","-20","-14","-27","-20","-14","-26","30","0","4","4","1.9","3","1021.9","0.32","0.47","77","71","0.32","0.47"
"2011-01-15","-28","-24","-18","-29.5","-24","-18","-28","30","0","6","7","1.1","2","1025.1","0.22","0.28","78","76","0.22","0.28"
"2011-01-16","-28","-23","-11","-27.4","-23","-11","-28","29","0.2","4","1","1.8","3","1025.7","0.26","0.41","78","76","0.26","0.41"
"2011-01-17","-25","-16","-12","-24.1","-16","-12","-25","31","0.4","3","3","1.1","2","1021.9","0.40","0.60","80","73","0.40","0.60"
"2011-01-18","-26","-19","-16","-29.0","-19","-16","-26","31","0","3","3","1.5","2","1024.6","0.25","0.33","80","77","0.25","0.33"
"2011-01-19","-28","-25","-20","-29.2","-25","-20","-28","31","0","2","7","2.9","5","1028.2","0.19","0.23","77","76","0.19","0.23"
"2011-01-20","-27","-22","-16","-27.1","-22","-16","-27","31","0","3","7","4","5","1028.7","0.25","0.31","78","77","0.25","0.31"
"2011-01-21","-24","-21","-18","-27","-21","-18","-24","31","0.2","2","1","4.5","6","1027.1","0.28","0.41","75","72","0.28","0.41"
